"","id","hhid","prov","male","age","marriage","edu","work","industry","insurance","rural","t_income","total_asset","t_asset","net_asset","fina_asset","risk_aver_a","finknow_int_a","finknow_inf_a","finknow_risk_a"
"171","2013008844_1","2013008844","上海市",0,64,1,4,0,0,1,0,11.3788510678026,2407622.5,14.6941503040183,14.6941503040183,96522.5390625,5,0,0,2
"172","2013008856_2","2013008856","上海市",1,78,0,2,0,0,1,0,11.3062069261016,6539887.5,15.6934305214506,15.6934305214506,527637.5,5,2,1,0
"173","2013008857_1","2013008857","上海市",1,88,0,7,0,0,0,0,11.4531754605645,4011400,15.2046508655341,15.2046508655341,500,5,2,2,0
"174","2013008862_1","2013008862","上海市",1,82,1,3,0,0,1,0,11.1986940572849,1768200,14.3854726379538,14.3854726379538,15000,5,2,2,0
"175","2013008866_2","2013008866","上海市",1,72,1,3,0,0,1,0,11.7896514885039,1855823.375,14.433839023468,14.433839023468,365523.375,5,1,1,0
"176","2013008867_2","2013008867","上海市",1,60,1,3,0,0,1,0,11.1889182165816,1822335,14.415629203787,14.415629203787,9535,5,2,2,0
"177","2013008868_1","2013008868","上海市",0,50,1,4,1,12,1,0,12.1011009431636,1511735.25,14.2287687211836,14.2287687211836,403735.21875,5,1,2,2
"178","2013008875_1","2013008875","上海市",0,67,1,4,0,0,1,0,11.8522507705738,8389400,15.9424795621794,15.9424795621794,801400,3,2,1,1
"179","2013008881_1","2013008881","上海市",0,67,1,6,0,0,1,0,12.1593740425209,9319124,16.047579190828,16.047579190828,738124,3,1,1,1
"180","2013008884_1","2013008884","上海市",1,66,1,3,0,0,1,0,11.4886327724012,4206335,15.2521022801948,15.2521022801948,0,5,1,0,0
"181","2013008885_1","2013008885","上海市",1,68,0,5,0,0,1,0,10.8985641930273,453294,13.024296200574,13.024296200574,406794,3,0,1,0
