"","id","hhid","prov","male","age","marriage","edu","edu_p","health","work","industry","insurance","rural","total_income","t_income","total_asset","t_asset","nasset","net_asset","fina_asset","house_asset","risk_aver","finknow","finknow_int","finknow_inf","finknow_risk","finance_inf","ind_business","house","numhouse","cash","current_dep","time_dep","stock","stock_a","bond","bond_a","fund","fund_a","inter_fin","inter_fin_a","fin_planning","fin_planning_a","derivative","der_a","golden","golden_a","nonrmb","nonrmb_a","riskasset","pro_stock","fin_market","pro_fin_market","t_income2","age2"
"62","2013008153_1","2013008153","上海市",1,74,1,3,3,4,0,0,1,0,93617.5,11.4469726108017,3713750,15.127552705759,3713750,15.127552705759,7800,3700000,5,1,0,1,0,2,0,1,1,2000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.033181952445,5476
"63","2013008158_1","2013008158","上海市",1,30,1,7,7,4,1,3,1,0,183155,12.1180880678616,6361332,15.6657483473503,6361332,15.6657483473503,124832,6e+06,4,3,1,1,1,2,0,1,2,300,10000,20000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,146.84805842045,900
"64","2013008161_3","2013008161","上海市",0,47,1,4,4,5,1,13,1,0,220510,12.3036983243146,13447473,16.4143017653194,13447473,16.4143017653194,2252021,1.1e+07,4,1,0,0,1,4,0,1,2,3500,30000,50000,0,0,0,0,1,0,1,60000,1,3e+05,0,0,0,0,0,0,360000,0,1,0.1599,151.380992455742,2209
"65","2013008169_1","2013008169","上海市",1,68,1,5,5,3,0,0,1,0,127200,11.7535159298882,5062300,15.4373314834437,5062300,15.4373314834437,5000,5e+06,3,2,1,1,0,2,0,1,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.145136714135,4624
"66","2013008206_1","2013008206","上海市",1,62,1,3,3,2,0,0,1,0,108528,11.5947634831859,4550878,15.3308307393444,4550878,15.3308307393444,917878.0625,3500000,4,3,1,1,1,4,0,1,1,60000,8000,0,1,0,0,0,0,0,1,0,1,5e+05,0,0,0,0,0,0,5e+05,0,1,0.5447,134.43854023102,3844
"67","2013008220_2","2013008220","上海市",0,55,1,6,6,5,1,7,1,0,98555.5703125,11.4983758336877,3900742,15.1766773494137,3900742,15.1766773494137,862842,3e+06,5,0,0,0,0,3,0,1,1,4000,37306,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,132.212646812734,3025
"68","2013008221_1","2013008221","上海市",1,63,1,3,3,4,0,0,1,0,390208,12.8744352092675,3088359,14.9431504398462,3088359,14.9431504398462,1008703.9375,2e+06,4,2,0,1,1,3,0,1,1,8000,1e+05,0,1,0,0,0,0,0,0,0,1,860000,0,0,0,0,0,0,860000,0,1,0.8526,165.751081957626,3969
"69","2013008223_1","2013008223","上海市",0,64,1,3,3,4,0,0,1,0,51090,10.8413440623248,2565975,14.7578490813199,2565975,14.7578490813199,45500,2500000,5,1,0,1,0,1,0,1,1,20000,20000,0,0,0,0,0,0,0,1,300,0,0,0,0,0,0,0,0,300,0,1,0.0066,117.534741077706,4096
"70","2013008224_2","2013008224","上海市",0,65,1,3,3,3,0,0,1,0,146377,11.8939407643421,5323815,15.4877007095839,5323815,15.4877007095839,672815,4500000,3,0,0,0,0,1,0,1,2,1e+05,3e+05,2e+05,0,0,0,0,1,38030,1,8,0,0,0,0,0,0,0,0,38038,0,1,0.0565,141.465826905679,4225
"71","2013008228_2","2013008228","上海市",1,68,1,3,3,3,0,0,1,0,107070,11.5812381051523,1802910,14.4049125841342,1802910,14.4049125841342,38000,1750000,4,3,1,1,1,1,0,1,1,5500,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.125076048232,4624
"72","2013008232_1","2013008232","上海市",0,74,1,3,3,2,0,0,1,0,116625,11.6667189381496,3187204,14.9746546013917,3187204,14.9746546013917,635750,2550000,5,1,0,1,0,1,0,1,1,5750,0,575000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.11233078178,5476
"73","2013008233_2","2013008233","上海市",1,72,1,3,3,4,0,0,1,0,121976.1875,11.7115811202382,1837530,14.4239328364665,1837530,14.4239328364665,70253,1725926,5,0,0,0,0,1,0,1,1,10000,53,50000,0,0,0,0,0,0,1,1500,0,0,0,0,0,0,0,0,1500,0,1,0.0214,137.16113233592,5184
"74","2013008235_1","2013008235","上海市",0,66,1,4,4,3,0,0,1,0,109000,11.5991031612113,2452986.25,14.7128167178438,2452986.25,14.7128167178438,34644.2109375,2408542,5,0,0,0,0,1,0,1,1,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.539194144422,4356
"75","2013008237_21","2013008237","上海市",0,63,1,3,3,3,0,0,1,0,101500,11.527814077464,2578448.75,14.7626985163788,2578448.75,14.7626985163788,573798.75,2e+06,4,3,1,1,1,5,0,1,1,10000,0,0,1,30000,0,0,0,0,0,0,1,230000,0,0,0,0,0,0,260000,0.0523,1,0.4531,132.890497404577,3969
"76","2013008240_2","2013008240","上海市",1,63,1,6,6,4,0,0,1,0,317999,12.6698035171033,4342605,15.2839849564251,4342605,15.2839849564251,835854.8125,3500000,3,0,0,0,0,1,0,1,1,9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.523921162003,3969
"77","2013008242_1","2013008242","上海市",0,60,1,3,3,1,0,0,1,0,-47215,-10.7624669176972,2333500,14.662879844372,2333500,14.662879844372,580500,1700000,5,1,0,0,1,1,0,1,1,150000,150000,0,1,0,0,0,0,0,1,0,1,180000,0,0,0,0,0,0,180000,0,1,0.3101,115.830694154526,3600
